;;;;;;;;;
;;;;;;;;;
;;;;;;;;LEGENDE;
Nom de l'entreprise;Nom de l'offre;Date d'envoie;Contact;Adresse mail;Date de Relance;Statut;;;
SERVIER;Alternance Web Développeur Full stack;21/05/2024;;;;;;ENTRETIEN;
;;;;;;;;REFUSER;
HENRI SELMER PARIS;Alternant Développeur WEB H/F;22/05/2024;;;;;;ACCEPTER;
ANTIDOPES MEDICALES;Développeur Web H/F Alternace/Apprentissage;22/05/2024;;;;;;RELANCE;
API & YOU;Développeur en alternace H/F;29-mai;;;;;;;
E-TF1;;13-juin-24;;;;;;;
My Rem Software;Développeur Web junior;18/06/2024;;;;;;;
KOUER;Développeur Web H/F Alternance;18/06/2024;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
